QUARTERLY BINS,TOTAL CRASHES,CAMERAS ADDED,TOTAL CAMERAS LIVE
2014-06-30 00:00:00,1,19,124
2014-09-30 00:00:00,1,12,136
2014-12-31 00:00:00,1,6,142
2015-03-31 00:00:00,3,3,145
2015-06-30 00:00:00,9,0,145
2015-09-30 00:00:00,1986,0,145
2015-12-31 00:00:00,7830,4,149
2016-03-31 00:00:00,8219,0,149
2016-06-30 00:00:00,8824,0,149
2016-09-30 00:00:00,12486,0,149
2016-12-31 00:00:00,14767,0,149
2017-03-31 00:00:00,13577,0,149
2017-06-30 00:00:00,17083,0,149
2017-09-30 00:00:00,23481,0,149
2017-12-31 00:00:00,29644,0,149
2018-03-31 00:00:00,27580,1,150
2018-06-30 00:00:00,30962,0,150
2018-09-30 00:00:00,30509,11,161
2018-12-31 00:00:00,29896,0,161
2019-03-31 00:00:00,27489,0,161
2019-06-30 00:00:00,30860,0,161
2019-09-30 00:00:00,30412,0,161
2019-12-31 00:00:00,28994,0,161
